rep,metric,category,inf_cat_total,pop_cat_total
1,inf,High,15507763.834021304,76409124.33642578
1,inf,Moderate,6818207.735808253,76010454.83154297
1,inf,Mild,454569.8069734535,10179491.45243071
10,inf,High,10153037.703280354,77707571.38427734
10,inf,Moderate,4049522.158617286,75964150.3461914
10,inf,Mild,260219.57881581478,8927348.88993071
100,inf,High,19453019.317643218,80947626.66894531
100,inf,Moderate,9075506.7825201,72833910.2319336
100,inf,Mild,615344.00943870435,8817533.719520554
1000,inf,High,15735556.073950658,76327517.86669922
1000,inf,Moderate,6970711.816078457,76222664.14904785
1000,inf,Mild,372922.04715994187,10048888.60465239
101,inf,High,22596228.8783675,76762754.21484375
101,inf,Moderate,11783370.134895721,77064936.88647461
101,inf,Mild,697790.4702491313,8771379.5190811
102,inf,High,18839503.031631142,85149008.46582031
102,inf,Moderate,12520325.659908388,71079033.85302734
102,inf,Mild,960797.4379402394,6371028.301551804
103,inf,High,18106995.088183217,84753961.62597656
103,inf,Moderate,12239683.33157926,71495554.84375
103,inf,Mild,861926.2467660345,6349554.150672898
104,inf,High,16962520.225945447,79569359.13769531
104,inf,Moderate,8200847.181514941,75069786.8170166
104,inf,Mild,565337.8557122155,7959924.665687546
105,inf,High,18197150.781475022,69569370.138671875
105,inf,Moderate,6571521.697637746,79491994.052734375
105,inf,Mild,298518.39967136574,13537706.42899321
106,inf,High,20877769.225743156,80056903.57128906
106,inf,Moderate,12075060.233454343,75484576.1953125
106,inf,Mild,744841.5197964591,7057590.853797898
107,inf,High,19610835.12912506,73314776.11669922
107,inf,Moderate,6942887.20503448,78967599.30212402
107,inf,Mild,345271.56646952033,10316695.201576218
108,inf,High,25244764.397420544,73035297.90332031
108,inf,Moderate,10123794.804179434,74851162.3548584
108,inf,Mild,511890.93602123857,14712610.36222075
109,inf,High,23895730.391472977,81975336.23046875
109,inf,Moderate,14567163.290935617,73376807.30175781
109,inf,Mild,985986.2342152919,7246927.088172898
11,inf,High,17667608.044200726,82662341.25292969
11,inf,Moderate,8999791.431068553,72492043.53295898
11,inf,Mild,523198.3851820466,7444685.834510788
110,inf,High,20715125.014602643,81295986.560546875
110,inf,Moderate,12288724.583093612,74075058.9251709
110,inf,Mild,882559.936180565,7228025.134681687
111,inf,High,19418363.269477498,72150500.7368164
111,inf,Moderate,6582838.988623829,75739084.6817627
111,inf,Mild,300439.30171286047,14709485.201820359
112,inf,High,19153403.38733174,75948264.908203125
112,inf,Moderate,9572441.100018086,75934527.53234863
112,inf,Mild,589524.8794523857,10716278.179847702
113,inf,High,15336004.57178898,78294889.294921875
113,inf,Moderate,8127143.541998553,76099684.88684082
113,inf,Mild,505377.9441572146,8204496.438636765
114,inf,High,16190424.544102548,87545190.93066406
114,inf,Moderate,11336054.991339646,69719283.6977539
114,inf,Mild,845401.8446375575,5334595.991981491
115,inf,High,15492721.787696196,85479713.48535156
115,inf,Moderate,9709517.250283206,71441904.0493164
115,inf,Mild,732992.1534436243,5677453.085731491
116,inf,High,19865700.405425575,79687061.36816406
116,inf,Moderate,8584391.022916798,72895577.06433105
116,inf,Mild,533701.2688575868,10016432.187904343
117,inf,High,19581165.96922536,80698557.861328125
117,inf,Moderate,11011545.96216874,74242324.91894531
117,inf,Mild,811502.1570524273,7658187.840126023
118,inf,High,16301846.601986699,75332681.111328125
118,inf,Moderate,8306155.891135159,78029359.4630127
118,inf,Mild,484562.0510301323,9237030.04605864
119,inf,High,16654322.766522724,74178035.396484375
119,inf,Moderate,7578636.489524989,77215204.940979
119,inf,Mild,464579.21361705754,11205830.282936081
12,inf,High,15924387.826248681,79556105.421875
12,inf,Moderate,8278523.078214718,74720349.77307129
12,inf,Mild,602805.7029947815,8322615.425453171
120,inf,High,19625966.045285087,85220809.99609375
120,inf,Moderate,13212859.721307425,71448221.5522461
