org_name,org_code,division,district,upazila,agency,org_type,org_func,org_lvl,lat,lon
Agailjhara Upazila Health Complex,10001948,Barishal,Barishal,Agailjhara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9634888,90.1831576
Amtali Upazila Health Complex,10001933,Barishal,Barguna,Amtali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.1303784,90.2301825
Babuganj Upazila Health Complex,10001955,Barishal,Barishal,Babuganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8264539,90.3082433
Bakerganj Upazila Health Complex,10001963,Barishal,Barishal,Bakerganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.5388143,90.34633219999999
Bamna Upazila Health Complex,10001937,Barishal,Barguna,Bamna,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.3097209,90.0929304
Banaripara Upazila Health Complex,10001966,Barishal,Barishal,Banaripara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7795615,90.160325
Barguna District Hospital,10001943,Barishal,Barguna,Barguna Sadar,DGHS,District Hospital,Hospital/Clinic,District,22.156242,90.12789
Barisal General Hospital,10001972,Barishal,Barishal,Barishal Sadar,DGHS,General Hospital (not district hospital),Hospital/Clinic,District,22.7086412,90.37027479999999
Bauphal Upazila Health Complex,10002033,Barishal,Patuakhali,Bauphal,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4145776,90.56198289999999
Betagi Upazila Health Complex,10001945,Barishal,Barguna,Betagi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4136076,90.1601787
Bhandaria Upazila Health Complex,10002055,Barishal,Pirojpur,Bhandaria,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4897195,90.0589013
Bhola District Hospital,10002002,Barishal,Bhola,Bhola Sadar,DGHS,District Hospital,Hospital/Clinic,District,22.6757402,90.6557361
Borhanuddin Upazila Health Complex,10002004,Barishal,Bhola,Burhanuddin,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4963235,90.718772
Charfession Upazila Health Complex,10002006,Barishal,Bhola,Charfession,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.1840322,90.7630241
Dashmina Upazila Health Complex,10002034,Barishal,Patuakhali,Dashmina,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.2825494,90.5645059
Daulatkhan Upazila Health Complex,10002008,Barishal,Bhola,Daulatkhan,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.6051058,90.7458551
Dumki Upazila Health Complex,10002035,Barishal,Patuakhali,Dumki,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4706533,90.3836524
Galachipa Upazila Health Complex,10002039,Barishal,Patuakhali,Galachipa,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.1659553,90.4204714
Gournadi Upazila Health Complex,10001982,Barishal,Barishal,Gaurnadi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9619447,90.2259318
Hijla Upazila Health Complex,10001984,Barishal,Barishal,Hizla,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.928412,90.44125489999999
Indurkani Upazila Health Complex,10002069,Barishal,Pirojpur,Indurkani,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4802276,89.96140369999999
Jhalokathi District Hospital,10002025,Barishal,Jhalokathi,Jhalokathi Sadar,DGHS,District Hospital,Hospital/Clinic,District,22.6863517,90.3614666
Kalapara Upazila Health Complex,10002042,Barishal,Patuakhali,Kalapara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.9874973,90.2183345
Kathalia Upazila Health Complex,10002027,Barishal,Jhalokathi,Kanthalia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.3520173,90.0802212
Kawkhali Upazila Health Complex,10002056,Barishal,Pirojpur,Kawkhali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.6203254,90.0624261
Lalmohan Upazila Health Complex,10002015,Barishal,Bhola,Lalmohan,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.346653,90.7339765
Manpura Upazila Health Complex,10002017,Barishal,Bhola,Manpura,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.258083,90.96668489999999
Mathbaria Upazila Health Complex,10002058,Barishal,Pirojpur,Mathbaria,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.2857109,89.9536359
Mehendiganj Upazila Health Complex,10001988,Barishal,Barishal,Mehendiganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8271862,90.52725919999999
Mirzaganj Upazila Health Complex,10002048,Barishal,Patuakhali,Mirzaganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.3598968,90.21699219999999
Muladi Upazila Health Complex,10001991,Barishal,Barishal,Muladi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9122405,90.4081885
Nalchiti  Upazila Health Complex,10002028,Barishal,Jhalokathi,Nalchity,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.6343517,90.2697803
Nazirpur Upazila Health Complex,10002061,Barishal,Pirojpur,Nazirpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7086728,89.96810789999999
Patharghata Upazila Health Complex,10001947,Barishal,Barguna,Patharghata,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.0328467,89.96656589999999
Patuakhali 250 bed Sadar Hospital,10002051,Barishal,Patuakhali,Patuakhali Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,22.3622664,90.3269921
Pirojpur District Hospital,10002067,Barishal,Pirojpur,Pirojpur Sadar,DGHS,District Hospital,Hospital/Clinic,District,22.5789637,89.97664499999999
Rajapur Upazila Health Complex,10002029,Barishal,Jhalokathi,Rajapur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.5695257,90.1334115
Rangabali Upazila Health Complex,10013107,Barishal,Patuakhali,Rangabali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.9040401,90.4125181
Sher-e-bangla Medical College Hospital,10001978,Barishal,Barishal,Barishal Sadar,DGHS,Medical College Hospital,Hospital/Clinic,Regional,22.6863517,90.3614666
Tajumuddin Upazila Health Complex,10002018,Barishal,Bhola,Tazumuddin,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4101607,90.84994119999999
Wazirpur Upazila Health Complex,10001997,Barishal,Barishal,Wazirpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8273908,90.25151629999999
Akhaura Upazila Health Complex,10000663,Chattogram,Brahmanbaria,Akhaura,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.8643892,91.2032366
Alikadam Upazila Health Complex,10000652,Chattogram,Bandarban,Alikadam,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.6523964,92.31191799999999
Anwara Upazila Health Complex,10000729,Chattogram,Chattogram,Anowara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.2243276,91.88901829999999
Ashugonj Upazila Health Complex,10000665,Chattogram,Brahmanbaria,Ashuganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0640154,90.9868276
Baghaichari Upazila Health Complex,10001067,Chattogram,Rangamati,Baghaichari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9669729,92.2007605
Bancharampur Upazila Health Complex,10000667,Chattogram,Brahmanbaria,Banchharampur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.7712295,90.80182529999999
Bandarban District Hospital,10000655,Chattogram,Bandarban,Bandarban Sadar,DGHS,District Hospital,Hospital/Clinic,District,22.1896135,92.2264957
Banshkhali Upazila Health Complex,10000734,Chattogram,Chattogram,Banshkhali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.0017357,91.9503596
Barkal Upazila Health Complex,10001070,Chattogram,Rangamati,Barkal,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7244254,92.3805678
Barura Upazila Health Complex,10000842,Chattogram,Cumilla,Barura,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3768341,91.05928689999999
Begumganj Upazila Health Complex,10001028,Chattogram,Noakhali,Begumganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9439053,91.11057249999999
Belaichari Upazila Health Complex,10001072,Chattogram,Rangamati,Belaichari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.3622596,92.49999179999999
Bijoynagar Upazila Health Complex,10013108,Chattogram,Brahmanbaria,Bijoynagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0141859,91.2265536
Boalkhali Upazila Health Complex,10000740,Chattogram,Chattogram,Boalkhali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.3744591,91.9192144
Brahmanbaria 250 Bed District Sadar Hospital,10000672,Chattogram,Brahmanbaria,Brahmanbaria Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,23.9762236,91.11117180000001
Brahmanpara Upazila Health Complex,10000846,Chattogram,Cumilla,Brahmanpara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6133333,91.0943145
Burichong Upazila Health Complex,10000847,Chattogram,Cumilla,Burichang,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.5570703,91.1270572
Chaddagram Upazila Health Complex,10000852,Chattogram,Cumilla,Chauddagram,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2237444,91.3137728
Chakaria Upazila Health Complex,10000918,Chattogram,Cox's Bazar,Chakaria,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.7617554,92.0746398
Chandanaish Upazila Health Complex,10000748,Chattogram,Chattogram,Chandanaish,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.2114681,92.0101031
Chandina Upazila Health Complex,10000857,Chattogram,Cumilla,Chandina,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.4882887,90.9984257
Chandpur 250 Bed General Hospital,10000700,Chattogram,Chandpur,Chandpur Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,23.2231817,90.6530009
Chatkhil Upazila Health Complex,10001031,Chattogram,Noakhali,Chatkhil,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0600994,90.9696512
Chhagalnaya Upazila Health Complex,10000942,Chattogram,Feni,Chhagalnaiya,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0388683,91.51629559999999
Chittagong 250 Bed General Hospital,10000753,Chattogram,Chattogram,Kotwali,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,22.3406339,91.8377319
Chittagong Medical College Hospital,10000756,Chattogram,Chattogram,Panchlaish,DGHS,Medical College Hospital,Hospital/Clinic,Regional,22.3592709,91.8308045
Comilla General Hospital,10000864,Chattogram,Cumilla,Cumilla Adarsha Sadar,DGHS,General Hospital (not district hospital),Hospital/Clinic,District,23.4499746,91.1782827
Comilla Sadar Daxin Upazila Health Complex,10000862,Chattogram,Cumilla,Cumilla Sadar Dakshin,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.4547096,91.1812348
Companiganj Upazila Health Complex,10001033,Chattogram,Noakhali,Companiganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0855552,91.7566198
Cox's Bazar 250 Bed District Sadar Hospital,10000922,Chattogram,Cox's Bazar,Cox's Bazar Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,21.4409036,91.9766003
Cumilla Medical College Hospital,10000867,Chattogram,Cumilla,Cumilla Adarsha Sadar,DGHS,Medical College Hospital,Hospital/Clinic,Regional,23.4515415,91.2029603
Daganbhuiya Upazila Health Complex,10000946,Chattogram,Feni,Daganbhuiyan,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8501032,91.39655979999999
Daudkandi Upazila Health Complex,10000875,Chattogram,Cumilla,Daudkandi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.5297817,90.7834439
Debidwar Upazila Health Complex,10000883,Chattogram,Cumilla,Debidwar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6035733,90.9883407
Dighinala Upazila Health Complex,10000973,Chattogram,Khagrachari,Dighinala,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2495553,92.0666729
Faridganj Upazila Health Complex,10000706,Chattogram,Chandpur,Faridganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.122725,90.7545435
Fatikchari Upazila Health Complex,10000781,Chattogram,Chattogram,Fatikchari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.6366553,91.7952699
Feni 250 Bed District Sadar Hospital,10000954,Chattogram,Feni,Feni Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,23.0159132,91.39758309999999
Fulgazi Upazila Health Complex,10000960,Chattogram,Feni,Fulgazi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.1058338,91.4321219
Haimchar Upazila Health Complex,10000708,Chattogram,Chandpur,Haimchar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0947534,90.6621859
Hathazari Upazila Health Complex,10000786,Chattogram,Chattogram,Hathazari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.5088437,91.804165
Hatiya Upazila Health Complex,10001037,Chattogram,Noakhali,Hatiya,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.2876868,91.1415992
Homna Upazila Health Complex,10000887,Chattogram,Cumilla,Homna,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.681142,90.7823501
Juraichari Upazila Health Complex,10001074,Chattogram,Rangamati,Juraichari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7244254,92.3805678
Kabirhat Upazila Health Complex,10001041,Chattogram,Noakhali,Kabirhat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7956429,91.1989169
Kachua Upazila Health Complex,10000715,Chattogram,Chandpur,Kachua,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.340233,90.88992139999999
Kamolnagar Upazila Health Complex,10000992,Chattogram,Lakshmipur,Kamalnagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7939502,90.8658322
Kaptai Upazila Health Complex,10001076,Chattogram,Rangamati,Kaptai,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.499721,92.1377387
Kashba Upazila Health Complex,10000678,Chattogram,Brahmanbaria,Kasba,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.7484476,91.1389749
Kawkhali Upazila Health Complex,10001077,Chattogram,Rangamati,Kowkhali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.6203254,90.0624261
Khagrachari District Hospital,10000976,Chattogram,Khagrachari,Khagrachari Sadar,DGHS,District Hospital,Hospital/Clinic,District,23.1078056,91.9931579
Kutubdia Upazila Health Complex,10000924,Chattogram,Cox's Bazar,Kutubdia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.8185107,91.8528884
Laksham Upazila Health Complex,10000892,Chattogram,Cumilla,Laksam,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2339429,91.1177264
Lakshmichari Upazila Health Complex,10000978,Chattogram,Khagrachari,Lakshmichari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7961681,91.91236640000001
Lakshmipur District Hospital,10001001,Chattogram,Lakshmipur,Lakshmipur Sadar,DGHS,District Hospital,Hospital/Clinic,District,22.9445334,90.98853679999999
Lalmai Upazila Health Complex,10025367,Chattogram,Cumilla,Lalmi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3385932,91.14362080000001
Lama Upazila Health Complex,10000656,Chattogram,Bandarban,Lama,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.7737612,92.1947359
Langadu Upazila Health Complex,10001080,Chattogram,Rangamati,Langadu,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9669729,92.2007605
Lohagara Upazila Health Complex,10000792,Chattogram,Chattogram,Lohagara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.1841516,89.6476686
Manikchari Upazila Health Complex,10000979,Chattogram,Khagrachari,Manikchari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8497025,91.84156209999999
Matiranga Upazila Health Complex,10000983,Chattogram,Khagrachari,Matiranga,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0395632,91.8755134
Matlab(daxin) Upazila Health Complex,10000721,Chattogram,Chandpur,Matlab Dakshin,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3481591,90.7050964
Matlab(uttar) Upazila Health Complex,10000725,Chattogram,Chandpur,Matlab Uttar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.4422394,90.645147
Meghna Upazila Health Complex,10000893,Chattogram,Cumilla,Meghna,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6289684,90.69302239999999
